date,Microsoft,LVMH,Euro_Gov_Bond,Corporate_Bond,Cash,Benchmark
2026-01-02,410.50,525.20,98.40,101.25,1.00,1000.00
2026-01-05,413.20,528.10,98.55,101.32,1.00,1004.50
2026-01-06,411.80,526.40,98.62,101.28,1.00,1002.80
2026-01-07,416.50,531.20,98.48,101.40,1.00,1008.70
2026-01-08,418.10,529.80,98.70,101.47,1.00,1010.20
2026-01-09,415.90,533.50,98.82,101.51,1.00,1009.10
2026-01-12,420.30,536.20,98.76,101.58,1.00,1014.60
2026-01-13,422.00,534.90,98.91,101.62,1.00,1016.30
2026-01-14,419.50,538.40,99.02,101.70,1.00,1013.80
2026-01-15,424.20,541.10,99.10,101.75,1.00,1019.50
